noc,noc_title,onetsoc_code
10,Legislators,11-1031.00
11,Senior government managers and officials,11-1011.00
11,Senior government managers and officials,11-1011.03
11,Senior government managers and officials,11-1021.00
12,"Senior managers - financial, communications and other business services",11-1011.00
12,"Senior managers - financial, communications and other business services",11-1011.03
12,"Senior managers - financial, communications and other business services",11-1021.00
13,"Senior managers - health, education, social and community services and membership organizations",11-1011.00
13,"Senior managers - health, education, social and community services and membership organizations",11-1011.03
13,"Senior managers - health, education, social and community services and membership organizations",11-1021.00
13,"Senior managers - health, education, social and community services and membership organizations",11-9199.00
14,"Senior managers - trade, broadcasting and other services",11-1011.00
14,"Senior managers - trade, broadcasting and other services",11-1011.03
14,"Senior managers - trade, broadcasting and other services",11-1021.00
14,"Senior managers - trade, broadcasting and other services",11-9071.00
14,"Senior managers - trade, broadcasting and other services",11-9171.00
15,"Senior managers - construction, transportation, production and utilities",11-1011.00
15,"Senior managers - construction, transportation, production and utilities",11-1011.03
15,"Senior managers - construction, transportation, production and utilities",11-1021.00
10010,Financial managers,11-3031.00
10010,Financial managers,11-3031.01
10010,Financial managers,11-9199.02
10011,Human resources managers,11-3121.00
10011,Human resources managers,11-3131.00
10012,Purchasing managers,11-3061.00
10012,Purchasing managers,11-3071.04
10019,Other administrative services managers,11-3012.00
10019,Other administrative services managers,11-3013.01
10019,Other administrative services managers,23-1021.00
10020,"Insurance, real estate and financial brokerage managers",11-3031.00
10020,"Insurance, real estate and financial brokerage managers",41-3021.00
10020,"Insurance, real estate and financial brokerage managers",41-3031.00
10020,"Insurance, real estate and financial brokerage managers",41-9021.00
10021,"Banking, credit and other investment managers",11-3031.00
10021,"Banking, credit and other investment managers",11-3031.03
10022,"Advertising, marketing and public relations managers",11-2011.00
10022,"Advertising, marketing and public relations managers",11-2021.00
10022,"Advertising, marketing and public relations managers",11-2032.00
10022,"Advertising, marketing and public relations managers",11-2033.00
10022,"Advertising, marketing and public relations managers",13-1161.01
10022,"Advertising, marketing and public relations managers",27-3031.00
10029,Other business services managers,11-3111.00
10029,Other business services managers,11-9199.00
10029,Other business services managers,11-9199.02
10029,Other business services managers,11-9199.08
10030,Telecommunication carriers managers,15-1241.01
11100,Financial auditors and accountants,13-2011.00
11101,Financial and investment analysts,13-2051.00
11102,Financial advisors,13-2052.00
11103,"Securities agents, investment dealers and brokers",41-3031.00
11109,Other financial officers,13-2061.00
11109,Other financial officers,13-2071.00
11109,Other financial officers,13-2072.00
11109,Other financial officers,13-2099.00
11109,Other financial officers,13-2099.01
11109,Other financial officers,13-2099.04
11200,Human resources professionals,11-3121.00
11200,Human resources professionals,13-1041.03
11200,Human resources professionals,13-1071.00
11200,Human resources professionals,13-1075.00
11200,Human resources professionals,13-1141.00
11200,Human resources professionals,13-1151.00
11200,Human resources professionals,23-1022.00
11201,Professional occupations in business management consulting,13-1041.00
11201,Professional occupations in business management consulting,13-1041.07
11201,Professional occupations in business management consulting,13-1081.00
11201,Professional occupations in business management consulting,13-1081.02
11201,Professional occupations in business management consulting,13-1111.00
11202,"Professional occupations in advertising, marketing and public relations",11-2011.00
11202,"Professional occupations in advertising, marketing and public relations",13-1011.00
11202,"Professional occupations in advertising, marketing and public relations",13-1131.00
11202,"Professional occupations in advertising, marketing and public relations",13-1161.01
12010,"Supervisors, general office and administrative support workers",43-1011.00
12011,"Supervisors, finance and insurance office workers",43-1011.00
12012,"Supervisors, library, correspondence and related information workers",25-4011.00
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",11-3071.00
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",11-3071.04
12100,Executive assistants,43-6011.00
12101,Human resources and recruitment officers,13-1071.00
12102,Procurement and purchasing agents and officers,13-1021.00
12102,Procurement and purchasing agents and officers,13-1023.00
12103,Conference and event planners,13-1121.00
12104,Employment insurance and revenue officers,13-1041.00
12104,Employment insurance and revenue officers,13-2081.00
12104,Employment insurance and revenue officers,13-2082.00
12110,"Court reporters, medical transcriptionists and related occupations",27-3092.00
12110,"Court reporters, medical transcriptionists and related occupations",31-9094.00
12111,Health information management occupations,15-1211.01
12111,Health information management occupations,15-2051.02
12111,Health information management occupations,21-1094.00
12111,Health information management occupations,29-2072.00
12111,Health information management occupations,29-9021.00
12112,Records management technicians,15-1299.03
12112,Records management technicians,43-4071.00
12112,Records management technicians,43-9071.00
12113,Statistical officers and related research support occupations,15-2099.01
12113,Statistical officers and related research support occupations,19-4061.00
12113,Statistical officers and related research support occupations,43-9111.00
12200,Accounting technicians and bookkeepers,43-3031.00
12201,Insurance adjusters and claims examiners,13-1031.00
12201,Insurance adjusters and claims examiners,13-1032.00
12202,Insurance underwriters,13-2053.00
12203,"Assessors, business valuators and appraisers",13-2022.00
12203,"Assessors, business valuators and appraisers",13-2023.00
12203,"Assessors, business valuators and appraisers",23-2093.00
13100,Administrative officers,13-1082.00
13100,Administrative officers,13-2031.00
13100,Administrative officers,43-6014.00
13101,Property administrators,11-9141.00
13102,Payroll administrators,43-3051.00
13110,Administrative assistants,43-6012.00
13110,Administrative assistants,43-6013.00
13110,Administrative assistants,43-6014.00
13111,Legal administrative assistants,23-2011.00
13112,Medical administrative assistants,31-9092.00
13200,"Customs, ship and other brokers",13-1041.08
13201,Production and transportation logistics coordinators,13-1081.02
14100,General office support workers,43-9022.00
14100,General office support workers,43-9051.00
14100,General office support workers,43-9061.00
14100,General office support workers,43-9081.00
14100,General office support workers,43-9199.00
14101,Receptionists,43-4171.00
